Course Code,Course Title,points_r1_2021,points_r2_2021,points_r1_2020,points_r2_2020,EOS 2020,EOS 2019,EOS 2018
CR310,IT Management,347,,297,,297,282,290
CR320,Biomedical Science - Offered jointly by CIT and UC,590,,565,,565,546,521*
CR325,Pharmaceutical Biotechnology,466,,398,,398,388,371
CR333,Nutrition and Health Science,425,,402,,402,360,350
CR335,Biological Sciences (Common Entry),473,,420,,420,381,381
CR340,Analytical Chemistry with Quality Assurance,327,,251,,251,288,327
CR360,Instrument Engineering,301,,261,,261,291,297
CR365,Environmental Science and Sustainable Technology,262,,253,,253,334,307
CR370,Agri-Biosciences,368,,397,,397,408,
CR400,Accounting,315,,316,,316,316,308
CR420,Marketing,290,,285,,285,288,288
CR425,International Business with Language,279,,298,,298,300,289
CR430,Sport and Exercise Management,402,,322,,322,,
CR435,Coaching Science and Sports Pedagogy,410,,,,,,
CR440,Montessori Education,409,408,288,,288,,
CR500,Engineering (Common Entry),475,,411,,411,381,391
CR510,Sustainable Energy Engineering,320,,320,,320,319,300
CR520,Biomedical Engineering,444,,444,,444,434,433
CR560,Architectural Technology,375,,308,,308,288,273
CR565,Interior Architecture,431,,359,,359,336,302
CR570,Quantity Surveying,375,,336,,336,279,282
CR572,Construction Management,300,,269,,269,253,252
CR580,Electrical Engineering,342,,318,,318,344,300
CR590,Electronic Engineering,329,,303,,303,342,300
CR600,Visual Communications at CIT Crawford College of A,280,,#+matric,,#+matric,#587,#640
CR660,Tourism Management,246,,252,,252,249,225
CR700,Theatre and Drama Studies at CIT Cork School of Mu,609,609,740,645,645,#768,#703
CR930,Home Economics and Business,518,,,,,,
CK101,Arts - 3 years,300,,300,,300,300,300
CK102,Social Science,434,431,412,,412,391,387
CK104,Arts with Music - 3 or 4 years (BMus or Chinese/Eu,339,,302,,302,#340,#368
CK105,Film and Screen Media - 3 years or 4 years (Intern,421,420,368,337,319,397,400
CK107,Geographical and Archaeological Sciences - 3 or 4,312,,328,,328,326,318
CK108,Arts International - 4 years,440,440,401,,401,429,423
CK109,English - 3 years or 4 years (International Pathwa,367,357,318,,318,347,355
CK110,World Languages,488,,452,433,410,456,452
CK111,Early Years and Childhood Studies,409,403,419,,419,398,388
CK112,Theatre and Performative Practices - 3 or 4 years,371,,330,,330,#324,#334
CK113,Criminology - 3 years or 4 years (International Pa,464,463,423,,423,408,413
CK114,Social Science (Youth and Community Work),,,,,777,#,#777
CK115,Social Work - Mature Applicants only,,,,,999,#,999
CK118,Digital Humanities and IT - 3 or 4 years (Work Exp,347,339,336,,336,307,338
CK120,Applied Psychology,544,543,533,532,531,506,485
CK121,Psychology and Computing - 3 or 4 years (Work Expe,499,488,466,,466,393,401
CK122,Government and Political Science,399,,337,328,326,355,
CK123,Anthropology,308,,308,,308,,
CK124,Education - Gaeilge,473,,463,462,452,,
CK125,Sports Studies and Physical Education,564,555,510,509,509,,
CK201,Commerce,500,499,477,,477,465*,456
CK202,Accounting,553,543,509,,509,467,452
CK203,Business Information Systems,455,452,430,,430,409,430
CK204,Finance,566,566,556,,556,531,520
CK205,Commerce (International) with French,465,,445,,445,409,462
CK206,Commerce (International) with German,466,455,420,418,418,408,476
CK207,Commerce (International) with Italian,423,418,388,,388,408,418
CK208,Commerce (International) with Hispanic Studies,488,486,402,,402,431,441
CK209,Commerce (International) with Irish,507,,484,,484,509,485
CK211,Commerce (International) with Chinese Studies,385,,397,,397,398,409
CK212,Economics (through Transformational Learning) 3 or,445,444,444,,444,400,
CK213,Food Marketing and Entrepreneurship,466,,462,,462,,
CK214,International Development,332,,346,,346,,
CK301,Law (Pathways) -  3 or 4 years,533,532,507,499,498,476,495
CK302,Law and French,545,,542,,542,453,542
CK304,Law and Irish,588,,540,,540,462,507
CK307,Law and Business,589,589,556,,556,522,542
CK401,Computer Science,503,495,468,,468,402,398
CK402,Biological and Chemical Sciences,555,555,510,509,509,498,487
CK404,Biological  Earth and Environmental Sciences,500,495,467,,465,412,431
CK405,Genetics,543,,487,,487,476,476
CK406,Chemical Sciences,532,,485,472,462,457,462
CK407,Mathematical Sciences,566,,566,565,565,531,543
CK408,Physics and Astrophysics,566,,554,542,531,511,521
CK409,Industrial Physics - Offered jointly by UCC and CI,465,,432,,432,413,511
CK411,Data Science and Analytics,531,,510,,509,509,455
CK412,Agricultural Science,506,,496,496,489,457,
CK504,Nutritional Sciences,555,554,518,,517,492,507
CK505,Food Science,463,,441,440,420,444,447
CK600,Engineering,510,509,487,,487,465,443
CK606,Architecture - Offered jointly by UCC and CIT,543,,484,476,469,465,433
CK701,Medicine (Undergraduate Entry - HPAT required),738,737,731,,731,#729,#729
CK702,Dentistry,625,625,613,613,613,590,589
CK703,Pharmacy,613,613,590,589,589,577,555
CK704,Occupational Therapy,601,,566,555,555,532*,522
CK705,Speech and Language Therapy,568,566,520,,520,509,509*
CK706,Public Health Sciences,500,,454,,454,419,440
CK707,Medical and Health Sciences,578,,542,541,541,510*,531
CK710,General Nursing,498,497,454,,454,440,440*
CK712,Children`s and General Nursing (Integrated),565,,533,,533,499,510
CK720,Mental Health Nursing,455,452,423,,419,398,414
CK730,Intellectual Disability Nursing,431,,419,411,400,359,409*
CK740,Midwifery,509,,484,,473,444,440
CK791,Medicine  - Graduate Entry (GAMSAT required),60,60,57,,57,#58*,#57*
AC120,International Business,294,294,209,,209,234,269
AC137,Liberal Arts,271,270,252,,252,252,219
CT125,Computing and IT,242,242,220,,220,235,263
CT325,Business,253,253,338,,281,,289
CM001,Education - Primary Teaching,508,,484,,484,452*,462
CM002,Education - Primary Teaching - Gaeltacht Applicant,462,,,,,#421,#434
CM003,Oideachas – Bunmhúinteoireacht Trí Mheán na Gaeilg,513,,528,,528,#491,
CM004,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilg,480,,494,,494,#492,
CM010,Education Studies,382,327,319,,317,317,326
CM020,Early Childhood Education,317,,327,,327,336,326
DB500,Computing,234,234,218,218,218,242,209
